"","Estacionf2","Species","Order","Family","transfC","Zona","IndNumber"
"1","Station: CTGAR04","Didelphis  marsupialis","DIDELPHIMORPHIA","Didelphidae","Media","Norte",4
"2","Station: CTGAR04","Procyon  lotor","CARNIVORA","Procyonidae","Media","Norte",1
"3","Station: CTGAR04","Cabassous  centralis","CINGULATA","Dasypodidae","Media","Norte",1
"4","Station: CTGAR04","Eira  barbara","CARNIVORA","Mustelidae","Media","Norte",1
"5","Station: CTGAR04","Cerdocyon  thous","CARNIVORA","Canidae","Media","Norte",1
"6","Station: CTGAR04","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Media","Norte",5
"7","Station: CTGAR04","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Media","Norte",1
"8","Station: CTGAR03","Didelphis  marsupialis","DIDELPHIMORPHIA","Didelphidae","Media","Norte",2
"9","Station: CTGAR03","Procyon  lotor","CARNIVORA","Procyonidae","Media","Norte",6
"10","Station: CTGAR03","Cuniculus  paca","RODENTIA","Cuniculidae","Media","Norte",1
"11","Station: CTGAR03","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Media","Norte",1
"12","Station: CTGAR02","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Media","Norte",1
"13","Station: CTGAR02","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Media","Norte",2
"14","Station: CTGAR02","Notosciurus Guerlinguetus granatensis","RODENTIA","Sciuridae","Media","Norte",3
"15","Station: CTGAR02","Didelphis  marsupialis","DIDELPHIMORPHIA","Didelphidae","Media","Norte",1
"16","Station: CTGAR07","Notosciurus Guerlinguetus granatensis","RODENTIA","Sciuridae","Media","Sur",2
"17","Station: CTGAR07","Mammalia","","","Media","Sur",1
"18","Station: CTGAR07","Procyon  lotor","CARNIVORA","Procyonidae","Media","Sur",1
"19","Station: CTGAR07","Cuniculus  paca","RODENTIA","Cuniculidae","Media","Sur",2
"20","Station: CTGAR01","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Media","Norte",6
"21","Station: CTGAR01","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Media","Norte",1
"22","Station: CTGAR08","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Media","Sur",1
