"","Estacionf2","Species","Order","Family","transfC","IndNumber"
"1","Station: CTAIP10","Pecari  tajacu","ARTIODACTYLA","Tayassuidae","Media",6
"2","Station: CTAIP10","Odocoileus cariacou","ARTIODACTYLA","Cervidae","Media",2
"3","Station: CTAIP14","Notosciurus Guerlinguetus granatensis","RODENTIA","Sciuridae","Alta",3
"4","Station: CTAIP11","Notosciurus Guerlinguetus granatensis","RODENTIA","Sciuridae","Alta",3
"5","Station: CTAIP11","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Alta",2
"6","Station: CTAIP11","Eira  barbara","CARNIVORA","Mustelidae","Alta",2
"7","Station: CTAIP11","Leopardus  pardalis","CARNIVORA","Felidae","Alta",1
"8","Station: CTAIP09","Eira  barbara","CARNIVORA","Mustelidae","Media",2
"9","Station: CTAIP09","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Media",1
"10","Station: CTAIP09","Tamandua  mexicana","PILOSA","Myrmecophagidae","Media",1
"11","Station: CTAIP16","Procyon  cancrivorus","CARNIVORA","Procyonidae","Alta",1
"12","Station: CTAIP16","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Alta",3
"13","Station: CTAIP03","Tamandua  mexicana","PILOSA","Myrmecophagidae","Baja",1
"14","Station: CTAIP03","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Baja",2
"15","Station: CTAIP03","Procyon  cancrivorus","CARNIVORA","Procyonidae","Baja",4
"16","Station: CTAIP03","Pecari  tajacu","ARTIODACTYLA","Tayassuidae","Baja",1
"17","Station: CTAIP03","Leopardus  pardalis","CARNIVORA","Felidae","Baja",1
"18","Station: CTAIP06","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Media",7
"19","Station: CTAIP06","Didelphis  marsupialis","DIDELPHIMORPHIA","Didelphidae","Media",5
"20","Station: CTAIP06","Pecari  tajacu","ARTIODACTYLA","Tayassuidae","Media",3
"21","Station: CTAIP05","Odocoileus cariacou","ARTIODACTYLA","Cervidae","Baja",1
"22","Station: CTAIP13","Tamandua  mexicana","PILOSA","Myrmecophagidae","Alta",1
"23","Station: CTAIP13","Cerdocyon  thous","CARNIVORA","Canidae","Alta",1
"24","Station: CTAIP13","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Alta",1
"25","Station: CTAIP13","Cuniculus  paca","RODENTIA","Cuniculidae","Alta",2
"26","Station: CTAIP07","Mammalia","","","Media",1
"27","Station: CTAIP07","Notosciurus Guerlinguetus granatensis","RODENTIA","Sciuridae","Media",1
"28","Station: CTAIP08","Odocoileus cariacou","ARTIODACTYLA","Cervidae","Media",2
"29","Station: CTAIP08","Tamandua  mexicana","PILOSA","Myrmecophagidae","Media",2
"30","Station: CTAIP08","Procyon  cancrivorus","CARNIVORA","Procyonidae","Media",2
"31","Station: CTAIP08","Notosciurus Guerlinguetus granatensis","RODENTIA","Sciuridae","Media",1
"32","Station: CTAIP04","Odocoileus cariacou","ARTIODACTYLA","Cervidae","Baja",7
"33","Station: CTAIP04","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Baja",13
"34","Station: CTAIP04","Pecari  tajacu","ARTIODACTYLA","Tayassuidae","Baja",10
"35","Station: CTAIP01","Pecari  tajacu","ARTIODACTYLA","Tayassuidae","Baja",1
"36","Station: CTAIP01","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Baja",1
"37","Station: CTAIP12","Felis  silvestris","CARNIVORA","Felidae","Alta",2
"38","Station: CTAIP12","Notosciurus Guerlinguetus granatensis","RODENTIA","Sciuridae","Alta",3
"39","Station: CTAIP12","Procyon  cancrivorus","CARNIVORA","Procyonidae","Alta",1
"40","Station: CTAIP12","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Alta",1
"41","Station: CTAIP02","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Baja",6
"42","Station: CTAIP02","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Baja",3
"43","Station: CTAIP02","Pecari  tajacu","ARTIODACTYLA","Tayassuidae","Baja",2
